Customer_ID,Churn_Label,Age,Gender,Location_Region,Marital_Status,Annual_Income,Membership_Tier,Join_Date,Last_Login_Date,Total_Spend_Lifetime,Items_In_Cart,Avg_Session_Duration_Min,Customer_Support_Calls,Preferred_Device,Payment_Method,Marketing_Opt_In,Last_Feedback_Text,Discount_Code_Used
CUST_00000,0,45,Female,West,Divorced,79239.91,Silver,2021-10-16,2023-11-02,944.99,6,12.1,0,Desktop,COD,True,Great service!,
CUST_00001,1,24,Female,East,Married,67390.43,Platinum,2020-04-24,2023-01-02,45.5,5,19.1,2,Tablet,PayPal,False,Too expensive.,SAVE10
CUST_00002,0,52,Female,East,Married,96437.88,Platinum,2020-01-26,2023-05-22,1394.82,13,9.1,1,Mobile,PayPal,False,Worst experience ever.,SUMMER20
CUST_00003,0,45,Male,South,Married,31695.81,Platinum,2022-01-29,2023-03-16,82.44,0,11.9,2,Tablet,PayPal,True,Great service!,SAVE10
CUST_00004,0,31,Female,East,Divorced,47409.48,Gold,2020-10-08,2023-03-08,1068.49,16,6.1,2,Tablet,Credit Card,False,Too expensive.,
CUST_00005,0,27,Male,West,Married,40854.62,Bronze,2020-09-07,2023-10-04,18.63,16,20.0,3,Tablet,COD,True,Okay.,
CUST_00006,0,33,Male,North,Single,73440.52,Bronze,2020-08-16,2023-05-09,1783.13,13,21.4,1,Desktop,Crypto,False,Loved the product.,SUMMER20
CUST_00007,1,33,Female,West,Unknown,51691.74,Platinum,2020-05-22,2023-03-31,192.01,9,13.4,0,Tablet,PayPal,True,Too expensive.,WELCOME50
CUST_00008,0,48,Female,South,Divorced,57842.74,Gold,2022-01-24,2023-02-26,724.63,7,13.5,0,Desktop,Crypto,False,nan,SUMMER20
CUST_00009,0,59,Male,West,Married,64505.28,Silver,2020-04-14,2023-12-05,303.12,7,17.3,2,Desktop,PayPal,True,Too expensive.,WELCOME50
CUST_00010,0,42,Female,North,Single,33178.17,Platinum,2021-11-23,2023-01-14,1282.46,13,22.4,3,Desktop,Crypto,True,App crashes often.,WELCOME50
CUST_00011,1,30,Female,East,Unknown,45679.77,Silver,2022-01-28,2023-03-09,387.65,6,17.0,1,Mobile,Credit Card,False,Too expensive.,
CUST_00012,1,23,Female,North,Single,69958.99,Silver,2022-07-02,2023-01-08,1289.56,5,11.5,1,Mobile,PayPal,False,App crashes often.,SAVE10
CUST_00013,0,61,Female,East,Married,46778.68,Gold,2021-07-12,2023-07-03,335.29,3,6.9,1,Mobile,Credit Card,False,Too expensive.,SUMMER20
CUST_00014,0,26,Male,East,Single,29295.36,Gold,2020-03-30,2023-05-02,1396.24,0,9.4,1,Desktop,Credit Card,False,App crashes often.,SUMMER20
CUST_00015,0,62,nan,West,Unknown,41466.06,Bronze,2021-08-27,2023-10-29,31.08,14,15.4,0,Mobile,COD,False,Loved the product.,
CUST_00016,0,53,Female,West,Married,50705.98,Bronze,2021-03-08,2023-06-15,333.11,24,11.7,0,Tablet,Crypto,True,Loved the product.,
CUST_00017,0,60,Male,West,Unknown,57501.41,Gold,2020-02-02,2023-01-09,690.42,14,16.0,0,Desktop,PayPal,False,nan,SUMMER20
CUST_00018,0,37,Female,South,Single,53937.8,Platinum,2020-01-31,2023-03-31,46.11,0,12.2,1,Mobile,Credit Card,False,Too expensive.,SUMMER20
CUST_00019,0,35,Female,West,Divorced,45786.73,Bronze,2020-04-05,2023-05-16,205.84,19,9.7,1,Desktop,Crypto,False,Okay.,SAVE10
CUST_00020,0,60,Female,South,Divorced,69089.7,Silver,2020-08-11,2023-01-27,2726.27,2,9.1,1,Mobile,COD,False,Okay.,
CUST_00021,0,38,Female,West,Divorced,53064.09,Platinum,2020-08-26,2023-03-06,3765.08,22,22.8,0,Tablet,Crypto,True,Fast delivery.,SAVE10
CUST_00022,0,21,Female,East,Divorced,58141.02,Silver,2021-06-01,2023-08-04,1346.11,4,19.4,2,Desktop,Crypto,False,Okay.,
CUST_00023,0,67,Female,South,Unknown,46585.66,Gold,2021-09-08,2023-09-27,290.62,4,23.7,1,Mobile,COD,False,nan,
CUST_00024,0,50,Female,North,Divorced,77634.1,Silver,2020-01-28,2023-02-28,301.8,3,17.7,2,Mobile,COD,False,Loved the product.,SAVE10
CUST_00025,0,44,Female,South,Unknown,49125.53,Platinum,2021-07-28,2023-02-02,1037.87,16,12.9,1,Tablet,COD,False,Great service!,WELCOME50
CUST_00026,0,24,Male,South,Married,56120.39,Gold,2020-07-22,2023-09-01,125.11,20,21.6,1,Tablet,Credit Card,True,Okay.,WELCOME50
CUST_00027,0,23,Female,North,Divorced,70524.99,Platinum,2022-01-03,2023-08-18,2962.48,19,14.8,1,Mobile,Crypto,True,Great service!,WELCOME50
CUST_00028,0,32,Male,South,Unknown,59200.63,Silver,2021-10-27,2023-07-05,254.65,13,16.1,1,Mobile,COD,True,App crashes often.,
CUST_00029,0,35,Female,East,Divorced,58826.35,Platinum,2021-12-19,2023-09-20,7917.33,7,14.8,0,Desktop,Crypto,True,Fast delivery.,SAVE10
CUST_00030,0,49,Female,West,Divorced,25395.17,Gold,2021-07-12,2023-10-31,684.65,1,0.3,1,Desktop,Crypto,True,nan,WELCOME50
CUST_00031,0,28,Female,North,Divorced,65209.53,Silver,2021-03-05,2023-02-25,1475.91,7,23.0,0,Mobile,Credit Card,False,nan,SUMMER20
CUST_00032,0,37,Female,West,Unknown,55833.8,Silver,2020-08-13,2023-08-20,2.19,0,17.5,0,Tablet,Crypto,True,Worst experience ever.,WELCOME50
CUST_00033,1,41,Female,East,Single,63123.48,Bronze,2021-04-04,2023-09-15,2195.94,3,16.6,0,Desktop,Credit Card,True,App crashes often.,SAVE10
CUST_00034,1,32,Male,North,Divorced,57748.2,Bronze,2021-08-26,2023-04-24,314.71,18,14.7,3,Mobile,COD,False,Too expensive.,
CUST_00035,1,65,Female,West,Divorced,46612.64,Platinum,2020-10-11,2023-11-11,1102.43,4,15.8,2,Tablet,COD,True,Okay.,SAVE10
CUST_00036,0,24,Male,West,Married,68414.61,Bronze,2022-04-08,2023-01-23,1641.73,4,12.0,1,Tablet,Crypto,True,nan,
CUST_00037,0,38,Male,East,Single,57971.9,Bronze,2022-06-09,2023-12-04,179.3,20,18.1,1,Mobile,Credit Card,True,Loved the product.,SAVE10
CUST_00038,0,59,Male,West,Unknown,35659.2,Bronze,2020-01-07,2023-09-24,584.31,19,8.5,0,Mobile,Credit Card,True,Fast delivery.,SAVE10
CUST_00039,0,43,Female,East,Married,74627.76,Bronze,2022-02-16,2023-06-04,680.89,23,15.9,1,Desktop,PayPal,False,App crashes often.,SUMMER20
CUST_00040,0,61,Female,South,Divorced,33542.81,Gold,2022-04-05,2023-08-23,374.14,18,17.8,0,Mobile,PayPal,True,App crashes often.,WELCOME50
CUST_00041,0,31,Female,East,Married,68513.94,Gold,2020-06-12,2023-11-26,657.31,11,14.0,1,Desktop,COD,True,Great service!,WELCOME50
CUST_00042,0,54,Male,South,Married,77303.98,Bronze,2021-12-15,2023-01-16,382.06,19,16.9,1,Tablet,COD,True,Too expensive.,SAVE10
CUST_00043,1,38,Female,North,Divorced,38405.57,Platinum,2021-03-08,2023-02-01,447.46,0,10.0,0,Desktop,PayPal,True,App crashes often.,WELCOME50
CUST_00044,0,35,Male,West,Single,53158.57,Gold,2020-12-14,2023-09-03,1106.64,6,10.2,2,Mobile,Credit Card,True,nan,SUMMER20
CUST_00045,0,22,Male,East,Single,51760.78,Bronze,2020-10-11,2023-07-25,1001.29,16,16.2,2,Desktop,Crypto,False,Great service!,SAVE10
CUST_00046,0,20,Female,East,Married,52435.43,Gold,2020-06-08,2023-08-07,264.31,1,18.4,2,Tablet,Crypto,True,Fast delivery.,WELCOME50
CUST_00047,0,40,Male,West,Divorced,82453.58,Silver,2020-08-08,2023-12-18,2277.73,10,5.6,0,Tablet,Credit Card,True,App crashes often.,WELCOME50
CUST_00048,0,43,Male,West,Unknown,38579.22,Gold,2022-09-07,2023-02-25,1986.23,6,17.6,0,Mobile,COD,False,Worst experience ever.,
CUST_00049,0,54,Male,North,Married,50401.49,Gold,2022-02-20,2023-09-09,711.48,16,12.3,0,Desktop,Crypto,False,Worst experience ever.,WELCOME50
CUST_00050,1,41,Male,North,Unknown,77549.84,Platinum,2020-12-10,2023-12-31,567.84,2,14.0,0,Mobile,Credit Card,True,Great service!,WELCOME50
CUST_00051,0,66,Male,East,Married,50155.77,Gold,2020-04-14,2023-08-16,472.98,21,8.3,2,Mobile,Crypto,False,Worst experience ever.,
CUST_00052,1,36,Male,North,Married,40963.3,Platinum,2020-04-04,2023-02-07,1228.5,5,10.7,1,Tablet,Credit Card,True,nan,SAVE10
CUST_00053,1,68,Female,South,Divorced,58945.22,Silver,2021-01-24,2023-02-11,1113.72,21,19.8,0,Desktop,PayPal,True,Too expensive.,SAVE10
CUST_00054,0,42,Female,North,Divorced,67084.61,Bronze,2020-04-09,2023-06-14,218.38,10,15.2,0,Mobile,PayPal,True,nan,SUMMER20
